InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
536365,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2010-12-01 08:26,2.55,17850,United Kingdom
536365,71053,WHITE METAL LANTERN,6,2010-12-01 08:26,3.39,17850,United Kingdom
536365,84406B,CREAM CUPID HEARTS COAT HANGER,8,2010-12-01 08:26,2.75,17850,United Kingdom
536365,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,6,2010-12-01 08:26,3.39,17850,United Kingdom
536365,84029E,RED WOOLLY HOTTIE WHITE HEART,6,2010-12-01 08:26,3.39,17850,United Kingdom
536365,22752,SET 7 BABUSHKA NESTING BOXES,2,2010-12-01 08:26,7.65,17850,United Kingdom
536365,21730,GLASS STAR FROSTED T-LIGHT HOLDER,6,2010-12-01 08:26,4.25,17850,United Kingdom
536366,22633,HAND WARMER UNION JACK,6,2010-12-01 08:28,1.85,17850,United Kingdom
536366,22632,HAND WARMER RED POLKA DOT,6,2010-12-01 08:28,1.85,17850,United Kingdom
536367,84879,ASSORTED COLOUR BIRD ORNAMENT,32,2010-12-01 08:34,1.69,13047,United Kingdom
536367,22745,POPPY'S PLAYHOUSE BEDROOM,6,2010-12-01 08:34,2.1,13047,United Kingdom
536367,22748,POPPY'S PLAYHOUSE KITCHEN,6,2010-12-01 08:34,2.1,13047,United Kingdom
536367,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,8,2010-12-01 08:34,3.75,13047,United Kingdom
536367,22310,IVORY KNITTED MUG COSY,6,2010-12-01 08:34,1.65,13047,United Kingdom
536367,84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,6,2010-12-01 08:34,4.25,13047,United Kingdom
536367,22623,BOX OF VINTAGE JIGSAW BLOCKS,3,2010-12-01 08:34,4.95,13047,United Kingdom
536367,22622,BOX OF VINTAGE ALPHABET BLOCKS,2,2010-12-01 08:34,9.95,13047,United Kingdom
536367,21754,HOME BUILDING BLOCK WORD,3,2010-12-01 08:34,5.95,13047,United Kingdom
536367,21755,LOVE BUILDING BLOCK WORD,3,2010-12-01 08:34,5.95,13047,United Kingdom
536367,21777,RECIPE BOX WITH METAL HEART,4,2010-12-01 08:34,7.95,13047,United Kingdom
536368,22960,JAM MAKING SET WITH JARS,12,2010-12-01 08:36,4.25,13047,United Kingdom
536368,22913,NATURAL SLATE HEART CHALKBOARD,12,2010-12-01 08:36,4.25,13047,United Kingdom
536368,22914,SKULL SHOULDER BAG,12,2010-12-01 08:36,2.55,13047,United Kingdom
536369,21890,VINTAGE UNION JACK APRON,3,2010-12-01 08:40,7.08,17548,United Kingdom
536369,21889,WOODEN CROQUET GARDEN SET,3,2010-12-01 08:40,25.0,17548,United Kingdom
536370,22111,SCOTTIE DOG HOT WATER BOTTLE,4,2010-12-01 08:45,4.95,12662,Germany
536370,21113,CREAM SWEETHEART EGG WARMER,4,2010-12-01 08:45,2.55,12662,Germany
536370,22112,CHOCOLATE HOT WATER BOTTLE,2,2010-12-01 08:45,4.95,12662,Germany
536370,22114,HOT WATER BOTTLE TEA AND SYMPATHY,2,2010-12-01 08:45,4.95,12662,Germany
536370,22492,MINI PAINT SET VINTAGE,36,2010-12-01 08:45,0.65,12662,Germany
